What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Staten Island,No,Getting better,I use the subway the same amount,Staying the same,NA,Single,Yes,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Active military service,NA,NA
Female,25,Refused,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,NA
Male,61,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused,Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Male,31,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused,Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,19,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,NA,Outer Queens,No,Staying the same,NA,Getting better,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Own,Full time student,NA,NA
Female,64,NA,"Yes, Other",No high school,Refused,Inner Brooklyn,No,Staying the same,NA,Getting worse,I take the bus the same amount,Married,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Male,34,Two or more races,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,35,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused,Outer Queens,Yes,NA,NA,NA,NA,Divorced,No,No,A one family house detached from any other house,NA,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Male,19,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",NA,Middle Queens,No,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Rent,Employed part time (working less than 30 hours per week),Retail,NA
Male,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Manhattan Core,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Construction,NA
Male,25,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$15,000 - $24,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",NOT CODED,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Male,21,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Northern Bronx,Yes,Getting worse,I use the subway more frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Male,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,35,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999",Southern Bronx,No,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
Male,35,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Southern Bronx,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Male,32,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Male,53,Refused,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Brooklyn,Yes,Getting better,I use the subway more frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Retail,NA
Male,21,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Bronx,No,Getting worse,I use the subway more frequently,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Construction,NA
Female,31,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A one family house attached to one or more houses,Rent,Employed part time (working less than 30 hours per week),Education,NA
Male,36,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,NA
Female,37,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Education,NA
Male,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$150,000-$199,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Other,NA
Female,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,56,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Getting better,I take the bus more frequently,Divorced,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,75,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Bronx,No,NA,NA,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,70,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Manhattan,No,Staying the same,NA,Getting better,I take the bus less frequently,Living in a committed partnership,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Financial services,NA
Female,45,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Capital Goods (aerospace & defense, electrical, machinery)",NA
Male,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Staten Island,Yes,Refused,NA,Refused,NA,Married,No,No,NA,NA,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Inner Brooklyn,No,Staying the same,NA,Getting better,I take the bus more frequently,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,No,Staying the same,NA,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Male,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Rent,Retired,NA,NA
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,NA
